Olympic record,,,,,,,,,,,,,
Shot Putt,Name,Country,Distance in metres,Year,City,,,,,,,,
Bennard Charles,NZE,Male,18.39,16.14,20.66,17.12,15.82,18.04,,,,,
Mohammad Nazir,TUN,Male,22.03,23.16,21.25,14.67,14.28,21.29,,,,,
Chevonne Bute,FRA,Female,17.23,15.2,22.44,22.85,16.71,19.93,,,,,
Daniel Sammy,GDR,Male,22.77,14.57,19.63,19.9,NT,19.62,,,,,
Felicia Persad,RSA,Female,22.44,NT,21.13,21.04,23.16,15.25,,,,,
Chin Sayam,CHN,Female,14.57,22.37,18.2,18.18,19.47,16.99,,,,,
Benjamin Liew,HKG,Male,15.94,16.83,15.62,17.78,22.78,20.56,,,,,
Cindy Manawah,SRI,Female,NT,NT,NT,18.41,NT,20.2,,,,,
Kevin Dunbar,IRE,Male,16.12,16.52,17.03,21.29,23.51,21.29,,,,,
Leong Runwen,THA,Male,21.8,23.44,15.35,14.01,23.27,16.44,,,,,
Alaa Osta,EGY,Male,17.32,20.54,17.27,15.06,15.65,17.79,,,,,
Gloria Simon,USA,Female,18.94,15.78,23.24,14.21,23.31,16.87,,,,,
Jeaneele Perkins,AUS,Female,15.4,NT,18.26,23.59,22.12,19.65,,,,,
Olivia Elie,AST,Female,21.3,17.12,19.51,17.32,16.83,15.02,,,,,
Kirk Semper,HOL,Male,15.03,16.17,17.18,20.18,23.45,15.21,,,,,
Tracy Mitchell,ENG,Female,14.6,18.28,15.69,14.7,21.05,20.26,,,,,
Vashti Ramcharan,IND,Female,20.11,23.32,14.28,NT,19.95,NT,,,,,
Tasleem Ali,TUN,Male,15.99,18.73,22.9,21.92,19.48,21.21,,,,,
Kevin Castillo,NZE,Male,20.45,NT,15.32,NT,22.64,15.05,,,,,
Tizzy Roach,BRA,Female,21.37,23.7,19.78,20.77,22.42,17.76,,,,,
Tee Yeow Wah,CHN,Female,22.89,20.21,21.42,23.88,NT,15.52,,,,,
Judy Wong,HKG,Female,20.4,22.83,14.35,23.39,18.08,18.86,,,,,
Gary Chapman,IRE,Male,17.95,NT,NT,18.36,14.08,18.95,,,,,
Lauralee Mohammed,TUR,Female,19.74,21.02,20.23,18.32,18.42,19.83,,,,,
Pham Van Dung,THA,Male,23.75,22.08,20.74,23.19,NT,14.12,,,,,
Kerwin Manawah,ZAM,Male,18.85,14.04,20.44,14.58,19.13,15.76,,,,,
Claire Ramsey,USA,Female,20.66,14.27,18.62,15.38,14.77,19.8,,,,,
Camylita Persad,MAL,Female,16.26,15.77,18.48,19.69,18.16,22.32,,,,,
Nigel George,NZE,Male,16.58,NT,15.56,NT,18.08,17.49,,,,,
Suzanne Weiss,GDR,Female,14.34,16.69,14.04,19.4,NT,22.55,,,,,
Trudy Thompson,ENG,Female,22.25,19.4,21.98,20.84,15.25,NT,,,,,
